iter	RMSE
0	6.116253915
1	6.067774474
2	6.017930505
3	5.979281255
4	5.937931065
5	5.897873903
6	5.867414295
7	5.832255095
8	5.799245824
9	5.764043514
10	5.708281932
11	5.66531275
12	5.633928875
13	5.584842605
14	5.553374155
15	5.532645828
16	5.508582691
17	5.471801706
18	5.43185525
19	5.410069174
20	5.375746966
21	5.346345647
22	5.328058457
23	5.298867636
24	5.267755279
25	5.244706107
26	5.219508583
27	5.200335929
28	5.172118053
29	5.142910193
30	5.118739789
31	5.097617815
32	5.081527843
33	5.05043602
34	5.028375353
35	5.007117687
36	4.980044179
37	4.951832725
38	4.923568353
39	4.901311947
40	4.871655075
41	4.849712402
42	4.823240526
43	4.8009117
44	4.775928402
45	4.749375072
46	4.730996174
47	4.71190373
48	4.700420041
49	4.682318165
50	4.668153202
51	4.642980274
52	4.625199133
53	4.607956133
54	4.582361496
55	4.56519156
56	4.551265173
57	4.531953324
58	4.513485129
59	4.492414004
60	4.480786338
61	4.468725112
62	4.44789485
63	4.435987301
64	4.411978821
65	4.395346534
66	4.373907674
67	4.357049889
68	4.347805174
69	4.329042788
70	4.315415059
71	4.302142081
72	4.290638837
73	4.283440255
74	4.269352727
75	4.26001198
76	4.254200194
77	4.242598845
78	4.230768443
79	4.214035036
80	4.193980061
81	4.181576875
82	4.166485276
83	4.142609348
84	4.12212859
85	4.109926764
86	4.099472863
87	4.087670122
88	4.07346348
89	4.058415137
90	4.047590663
91	4.039831147
92	4.02547535
93	4.012247567
94	4.003666647
95	3.992581632
96	3.981476325
97	3.962993534
98	3.948077262
99	3.930623513
