iter	Passed	Remaining
0	1	131
1	2	105
2	2	92
3	3	83
4	4	80
5	4	77
6	5	77
7	6	74
8	7	71
9	7	68
10	8	68
11	9	67
12	10	70
13	11	72
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	16	67
20	17	65
21	18	64
22	18	63
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	53
33	27	52
34	27	51
35	28	50
36	28	49
37	29	47
38	29	46
39	30	45
40	30	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	41	34
55	42	33
56	43	32
57	44	32
58	45	31
59	46	30
60	47	30
61	48	29
62	48	28
63	49	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	56	22
71	57	22
72	58	21
73	59	20
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	76	7
91	77	6
92	80	6
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	83	0
99	84	0
