ISO code,Country,Variable code,Variable name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.24708163738251,1.26348471641541,1.2801034450531,1.29694080352783,1.30848634243011,1.32013463973999,1.33188664913178,1.34374332427979,1.35570561885834,1.36777424812317,1.37995040416718,1.39223492145538,1.40462875366211,1.41713297367096,1.42419624328613,1.43129467964172,1.43842852115631,1.44559788703918,1.45280301570892,1.46004402637482,1.46732115745544,1.4746345281601,1.48198437690735,1.48937082290649,1.50713586807251,1.52565121650696,1.54495549201965
ALB,Albania,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.6345043182373,2.68892025947571,2.744460105896,2.8011474609375,2.8150897026062,2.8291015625,2.84318327903748,2.85733485221863,2.87155675888062,2.87803173065186,2.884521484375,2.89102554321289,2.89754462242126,2.90407800674438,2.93933033943176,2.98676872253418,2.98455333709717,2.98233938217163,2.98012733459473,2.9779167175293,2.97570776939392,2.98273301124573,2.98979878425598,2.99690508842468,3.00405287742615,3.0112419128418,3.01847267150879
ARE,United Arab Emirates,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.45076894760132,2.51095581054688,2.56848430633545,2.61078405380249,2.62868571281433,2.64671063423157,2.6648588180542,2.6831316947937,2.70152950286865,2.70470285415649,2.70787954330444,2.71106028556824,2.71424436569214,2.71743273735046,2.74564242362976,2.77414512634277,2.80294370651245,2.8320415019989,2.86144089698792,2.89114570617676,3.11606049537659,3.19747185707092,3.23897194862366,3.24693775177002,3.25492286682129,3.29919362068176,3.30434536933899
ARG,Argentina,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.63453459739685,2.64206695556641,2.64962077140808,2.65719604492188,2.68300294876099,2.70905995368958,2.73537039756775,2.76193618774414,2.7887601852417,2.7969753742218,2.80521464347839,2.81347823143005,2.82176613807678,2.83007836341858,2.8585422039032,2.88729238510132,2.91633176803589,2.9456627368927,2.97528910636902,3.00521349906921,3.03543877601624,3.06596803665161,3.09680438041687,3.12795066833496,3.13874697685242,3.14963102340698,3.16060328483582
ARM,Armenia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.05200505256653,3.06747436523438,3.08302235603333,3.09864902496338,3.09845232963562,3.09825563430786,3.09805917739868,3.09786248207092,3.09766578674316,3.10037350654602,3.10308337211609,3.10579562187195,3.1085102558136,3.11122751235962,3.12573480606079,3.14553189277649,3.16545414924622,3.18550252914429,3.20567798614502,3.23128962516785,3.12573480606079,3.13544416427612,3.14518332481384,3.15495300292969,3.1577730178833,3.16059851646423,3.16343021392822
AUS,Australia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.49987483024597,3.5127477645874,3.52566766738892,3.53863549232483,3.52751183509827,3.51642346382141,3.50536966323853,3.49435067176819,3.4833664894104,3.472416639328,3.46150135993958,3.45062017440796,3.43977355957031,3.4289608001709,3.44216704368591,3.45542430877686,3.4687328338623,3.48209238052368,3.49550342559814,3.50896620750427,3.52248072624207,3.53604745864868,3.54966616630554,3.56333756446838,3.5980269908905,3.62050604820251,3.60863065719605
AUT,Austria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.07066631317139,3.08604335784912,3.10149765014648,3.11702919006348,3.13323092460632,3.14951682090759,3.16588711738586,3.18234300613403,3.19888401031494,3.21551084518433,3.23222470283508,3.24902486801147,3.26591277122498,3.28288817405701,3.29365229606628,3.30445194244385,3.31528687477112,3.32615733146668,3.33706331253052,3.3480052947998,3.35898303985596,3.36999678611755,3.38104629516602,3.39213252067566,3.41118836402893,3.43048191070557,3.45001626014709
BDI,Burundi,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.18430209159851,1.19162034988403,1.19898390769959,1.20639288425446,1.21525037288666,1.22417294979095,1.2331610918045,1.24221515655518,1.25133562088013,1.26052308082581,1.26977801322937,1.27910101413727,1.28849232196808,1.29795265197754,1.31062138080597,1.32341384887695,1.3363311290741,1.34937453269959,1.36254513263702,1.37584447860718,1.38927340507507,1.40283358097076,1.41652607917786,1.43035221099854,1.44758975505829,1.46562254428864,1.48449504375458
BEL,Belgium,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.92292714118958,2.93973064422607,2.95663022994995,2.9736270904541,2.99241900444031,3.01132941246033,3.03035950660706,3.04950976371765,3.06878113746643,3.07356929779053,3.07836484909058,3.08316802978516,3.08797860145569,3.09279680252075,3.09899544715881,3.10520648956299,3.11142992973328,3.11766600608826,3.12391448020935,3.13017559051514,3.13644909858704,3.14273524284363,3.14903402328491,3.15534543991089,3.16043567657471,3.16554522514343,3.17067384719849
BEN,Benin,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.36385655403137,1.37915360927582,1.39462244510651,1.4102646112442,1.42352223396301,1.4369044303894,1.45041263103485,1.46404767036438,1.47781085968018,1.49318385124207,1.50871670246124,1.52441108226776,1.54026877880096,1.55629146099091,1.59960615634918,1.64412641525269,1.68988573551178,1.73004007339478,1.76620972156525,1.80313551425934,1.84083318710327,1.87931907176971,1.91860961914063,1.95872163772583,1.98621380329132,2.01414346694946,2.04318475723267
BFA,Burkina Faso,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.05733823776245,1.06136059761047,1.06539833545685,1.06945133209229,1.07874643802643,1.08812236785889,1.09757959842682,1.10711920261383,1.11674165725708,1.1264476776123,1.13623821735382,1.14611375331879,1.15607511997223,1.16612303256989,1.17889547348022,1.1918078660965,1.20486176013947,1.21805846691132,1.23139977455139,1.24488723278046,1.25852251052856,1.27230703830719,1.28624248504639,1.3003306388855,1.31342136859894,1.34470093250275,1.37952566146851
BGD,Bangladesh,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.5882396697998,1.60527288913727,1.62248873710632,1.63988935947418,1.66190958023071,1.68422555923462,1.70684111118317,1.72466349601746,1.74209010601044,1.76760101318359,1.79348564147949,1.81974923610687,1.84639751911163,1.87343597412109,1.89753115177155,1.92193627357483,1.9466552734375,1.9716922044754,1.99705111980438,2.02273631095886,2.04875159263611,2.07510161399841,2.10179042816162,2.12882280349731,2.07164478302002,2.1118311882019,2.15412998199463
BGR,Bulgaria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.85403776168823,2.86988592147827,2.88582158088684,2.90184617042542,2.91945862770081,2.93717789649963,2.95500469207764,2.97293972969055,2.99098372459412,3.00913739204407,3.02740073204041,3.04577541351318,3.06426119804382,3.0828595161438,3.09415435791016,3.10549068450928,3.11686825752258,3.12828779220581,3.1397488117218,3.15125203132629,3.16279745101929,3.17438507080078,3.18601512908936,3.19768786430359,3.21906208992004,3.24076652526855,3.26280808448792
