iter	RMSE
0	5.974571846
1	5.933440829
2	5.904015774
3	5.864554431
4	5.829396782
5	5.787026146
6	5.747899761
7	5.713846249
8	5.682364042
9	5.649461719
10	5.612795556
11	5.567723284
12	5.523955798
13	5.486822565
14	5.456755019
15	5.420469944
16	5.402667599
17	5.370757307
18	5.339521627
19	5.317648376
20	5.291039909
21	5.25741455
22	5.227392708
23	5.196091736
24	5.17155078
25	5.13848817
26	5.118211567
27	5.098721152
28	5.065955293
29	5.039306741
30	5.016925854
31	4.989063802
32	4.972167369
33	4.946370618
34	4.916599323
35	4.895201067
36	4.872024084
37	4.847894213
38	4.826661281
39	4.798723888
40	4.778130189
41	4.762959915
42	4.743681137
43	4.72229839
44	4.695075493
45	4.675068481
46	4.65361032
47	4.637642831
48	4.618714761
49	4.594745008
50	4.577766323
51	4.562121087
52	4.545268872
53	4.528512429
54	4.508606083
55	4.488881009
56	4.475851977
57	4.452322117
58	4.439480411
59	4.428040153
60	4.41446373
61	4.404177676
62	4.385057618
63	4.372343933
64	4.360554206
65	4.346906154
66	4.33751738
67	4.320517429
68	4.310345677
69	4.290894879
70	4.272243859
71	4.263800886
72	4.244487505
73	4.229871569
74	4.209624613
75	4.191168109
76	4.174779126
77	4.162275678
78	4.148181472
79	4.139032432
80	4.123622638
81	4.109063211
82	4.097710578
83	4.08333961
84	4.068598839
85	4.056759868
86	4.038350397
87	4.026487375
88	4.020247316
89	4.006507243
90	3.996368868
91	3.9841744
92	3.967731352
93	3.957779236
94	3.93870994
95	3.927519381
96	3.914280539
97	3.894859442
98	3.892384388
99	3.88194297
