iter	Passed	Remaining
0	12	1254
1	17	836
2	18	597
3	19	468
4	20	388
5	22	359
6	34	453
7	38	441
8	41	415
9	44	399
10	58	473
11	64	472
12	66	443
13	99	611
14	125	712
15	129	681
16	134	656
17	141	645
18	144	614
19	145	582
20	149	560
21	154	546
22	155	520
23	156	495
24	157	472
25	158	451
26	159	431
27	161	415
28	162	397
29	162	379
30	163	364
31	164	350
32	165	336
33	166	323
34	167	311
35	168	299
36	168	287
37	172	282
38	174	272
39	176	264
40	177	255
41	198	273
42	200	266
43	202	258
44	205	250
45	206	242
46	208	234
47	210	227
48	212	221
49	214	214
50	216	208
51	217	200
52	218	193
53	220	187
54	221	181
55	222	174
56	223	168
57	224	162
58	225	156
59	226	151
60	227	145
61	227	139
62	228	134
63	229	129
64	230	124
65	231	119
66	231	114
67	232	109
68	233	104
69	233	100
70	234	95
71	235	91
72	236	87
73	237	83
74	237	79
75	238	75
76	239	71
77	240	67
78	241	64
79	242	60
80	243	57
81	244	53
82	245	50
83	247	47
84	249	43
85	252	41
86	255	38
87	257	35
88	259	32
89	260	28
90	261	25
91	262	22
92	263	19
93	265	16
94	266	14
95	268	11
96	268	8
97	269	5
98	270	2
99	272	0
